"id","subset","text","gold_intent","pred_intent","gold_urgency","pred_urgency","gold_next_action","pred_next_action","note"
"intent_medication_check_004","hard","两种药能不能一起吃,帮我读成分","medication_check","ocr_text","normal","normal","answer","answer","药物合用风险,当前 simpleMedicineQa 可直接安全说明。"
"intent_medication_check_007","hard","说明上那句注意事项我拿不准","medication_check","fallback","normal","elevated","match_volunteer","ask_followup","隐含药品注意事项确认。"
"intent_emergency_003","hard","我一个人在楼梯旁起不来","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","隐含跌倒/行动受限,人工判为紧急。"
"intent_emergency_004","hard","附近有人一直跟着我,我不敢动","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","人身安全风险,应紧急。"
"intent_emergency_007","hard","我突然喘不上气,身边没人","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","呼吸困难是医疗紧急。"
"intent_need_human_005","easy","我需要有人陪我走这一段","need_human","fallback","normal","elevated","match_volunteer","ask_followup","陪同/人工帮助。"
"intent_need_human_006","hard","这个地方我想让附近的人帮我确认","need_human","fallback","normal","elevated","match_volunteer","ask_followup","隐含真人确认。"
"intent_need_human_007","hard","AI 先别回答,请安排一个人来处理","need_human","fallback","normal","elevated","match_volunteer","ask_followup","用户明确拒绝 AI 独立处理。"
"intent_need_human_008","hard","能不能让会这个的人接手","need_human","fallback","normal","elevated","match_volunteer","ask_followup","隐含转人工/专家协助。"
"intent_ocr_text_009","hard","拍到的缴费单上最后一行是什么","ocr_text","fallback","normal","elevated","answer","ask_followup","读取缴费单字段属于 OCR,没有直接使用规则关键词。"
"intent_scene_description_010","hard","照片里像不像是在排队的地方","scene_description","fallback","normal","elevated","answer","ask_followup","判断整体场景语义,不是单一物体识别。"
"intent_object_identify_009","easy","帮我识别照片中间这个配件","object_identify","scene_description","normal","normal","answer","answer","带图片路径并要求识别具体配件,应为物体识别。"
"intent_object_identify_010","hard","我不知道手边这个小零件叫什么,拍给你看","object_identify","scene_description","normal","normal","answer","answer","隐含物体身份辨认,人工标为 object_identify。"
"intent_color_recognition_010","hard","这两个包装的配色是不是一样","color_recognition","fallback","normal","elevated","answer","ask_followup","比较配色差异,属于颜色识别。"
"intent_money_recognition_009","hard","帮我确认这张现金是不是五十","money_recognition","fallback","normal","elevated","answer","ask_followup","现金金额确认属于 money_recognition。"
"intent_translation_009","hard","帮我把我要问路的话整理给工作人员看","translation","fallback","normal","elevated","answer","ask_followup","把用户意图转成可给他人看的表达,属于转译沟通。"
"intent_environment_description_010","hard","这边走过去会不会碰到路边摆的东西","environment_description","fallback","normal","elevated","match_volunteer","ask_followup","隐含移动路径环境风险检查。"
"intent_navigation_010","hard","从这个门进去以后该往哪个方向排队","navigation","fallback","normal","elevated","match_volunteer","ask_followup","隐含室内路线指引,应归为 navigation。"
"intent_medication_check_009","easy","这瓶药的注意事项帮我确认一下","medication_check","fallback","normal","elevated","match_volunteer","ask_followup","药品注意事项需要药品确认并人工兜底。"
"intent_medication_check_010","hard","我想知道这盒药是不是睡前吃","medication_check","fallback","normal","elevated","match_volunteer","ask_followup","隐含用法时机确认,属于 medication_check。"
"intent_emergency_010","hard","我被困在楼梯间,门打不开","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","被困且无法离开,人工判为紧急。"
"intent_need_human_009","hard","这个我不想让系统判断,请找个人帮忙","need_human","fallback","normal","elevated","match_volunteer","ask_followup","隐含但明确要求真人介入。"
"emergency_pos_008","hard","附近有人一直跟着我,我不敢动","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","人身安全威胁,隐式紧急。"
"emergency_pos_009","hard","我一个人在地下车库,找不到回去的路","emergency","navigation","emergency","normal","trigger_sos","match_volunteer","地下车库迷失方向,风险较高。"
"emergency_pos_010","hard","我喘不上气,手也发麻","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","呼吸困难和肢体异常,医疗紧急。"
"emergency_pos_011","hard","我被困在电梯里,联系不上家人","emergency","navigation","emergency","normal","trigger_sos","match_volunteer","被困且无法联系,应紧急。"
"emergency_pos_012","hard","楼道里全是烟,我看不清","emergency","ocr_text","emergency","normal","trigger_sos","answer","火灾烟雾风险。"
"emergency_pos_013","easy","有人敲门不走,我一个人在家很害怕","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","含我很害怕且有人身安全风险。"
"emergency_pos_014","hard","我突然看不见路,旁边都是车","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","交通环境下突然失去导航能力。"
"emergency_pos_015","hard","老人倒在地上没有回应","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","他人倒地无回应,应紧急。"
"emergency_pos_016","hard","我被人拉住不让我走","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","人身控制风险。"
"emergency_pos_017","hard","我在陌生地方走散了,手机只剩百分之一","emergency","fallback","emergency","elevated","trigger_sos","ask_followup","走散加电量即将耗尽。"
"emergency_neg_001","hard","我有点怕这个药吃错,想确认说明书","medication_check","ocr_text","normal","normal","match_volunteer","answer","有担心情绪但不是即时紧急,应药品确认。"
"emergency_neg_002","hard","我担心坐错车,想问怎么去门诊","navigation","fallback","normal","elevated","match_volunteer","ask_followup","担心但目标是导航。"
"emergency_neg_003","hard","我不敢确定这张钱是不是一百","money_recognition","fallback","normal","elevated","answer","ask_followup","不敢确定但只是面额识别。"
"emergency_neg_008","easy","我不舒服但只是想问这个退烧药成分","medication_check","emergency","normal","emergency","answer","trigger_sos","普通用药问答,非紧急。"
"emergency_neg_010","hard","附近人有点多,帮我看看通道挤不挤","environment_description","scene_description","normal","normal","match_volunteer","answer","环境判断,非紧急。"
"emergency_neg_014","hard","我担心菜单点错,帮我念价格","ocr_text","fallback","normal","elevated","answer","ask_followup","菜单文字和价格读取,非紧急。"
"emergency_neg_017","hard","听电话我会慌,帮我整理一句话","translation","fallback","normal","elevated","answer","ask_followup","电话转译,非紧急。"
"emergency_neg_019","hard","我想让附近人帮我看一下这个票据","need_human","fallback","normal","elevated","match_volunteer","ask_followup","人工确认票据,非紧急。"
"emergency_neg_020","hard","我有点害羞,不知道怎么和店员说","translation","fallback","normal","elevated","answer","ask_followup","沟通表达辅助,非紧急。"
